,stimFile,trainingTrue.thisRepN,trainingTrue.thisTrialN,trainingTrue.thisN,trainingTrue.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr.started,instr.stopped,resp_1.keys,resp_1.rt,resp_1.started,resp_1.stopped,instru_2.started,instru_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,train.started,train.stopped,train_end.started,train_end.stopped,train_end_resp.keys,train_end_resp.rt,train_end_resp.started,train_end_resp.stopped,instru_all_trials.started,instru_all_trials.stopped,resp_all_trials.keys,resp_all_trials.rt,resp_all_trials.started,resp_all_trials.stopped,word.started,word.stopped,instru_trial.started,instru_trial.stopped,slider_w_1.response,slider_w_1.rt,slider_w_1.started,slider_w_1.stopped,instru_end.started,instru_end.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped
0,,,,,,,,,,17.965292235321613,None,k,14.581411052259682,17.965292235321613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,32.56372905473518,None,k,7.0224932467735925,32.56372905473518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,39.67834886522519,None,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,231.37582741926053,None,k,9.173276512356097,231.37582741926053,None,,,,,,,,,,,,,,,,,,,,
4,stimuli/gogebi.wav,,,,,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,240.59112229580387,None,j,5.493599339060893,240.59112229580387,None,246.5906117099385,None,248.09070407723084,None,1.0070546737213406,7.397535242196682,248.09070407723084,None,,,,,,
5,stimuli/guloba.wav,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,253.5234638579764,None,h,6.232370449590235,253.5234638579764,None,260.25582766678104,None,261.7559191285113,None,1.0070546737213406,3.080742898660901,261.7559191285113,None,,,,,,
6,stimuli/bogaki.wav,,,,,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,262.87242446936307,None,h,2.2910429987855423,262.87242446936307,None,265.67192964027123,None,267.1720126500927,None,1.6102292768959436,7.263785290116175,267.1720126500927,None,,,,,,
7,stimuli/tupidu.wav,,,,,0.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,272.47147344847826,None,h,1.8913947793162151,272.47147344847826,None,274.8708987488454,None,276.37103156455987,None,1.0,2.863717493731201,276.37103156455987,None,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.2709331903752,None,return,4.179513719410807,277.2709331903752,None
