,stimFile,trainingTrue.thisRepN,trainingTrue.thisTrialN,trainingTrue.thisN,trainingTrue.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr.started,instr.stopped,resp_1.keys,resp_1.rt,resp_1.started,resp_1.stopped,instru_2.started,instru_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,train.started,train.stopped,train_end.started,train_end.stopped,train_end_resp.keys,train_end_resp.rt,train_end_resp.started,train_end_resp.stopped,instru_all_trials.started,instru_all_trials.stopped,resp_all_trials.keys,resp_all_trials.rt,resp_all_trials.started,resp_all_trials.stopped,word.started,word.stopped,instru_trial.started,instru_trial.stopped,slider_w_1.response,slider_w_1.rt,slider_w_1.started,slider_w_1.stopped,instru_end.started,instru_end.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped
0,,,,,,,,,,19.34090470026877,None,space,6.713949273612343,19.34090470026877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,26.072871186948305,None,space,15.181150749570406,26.072871186948305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,41.32140911461857,None,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,233.0194501260553,None,space,6.607335657226031,233.0194501260553,None,,,,,,,,,,,,,,,,,,,,
4,stimuli/bogaki.wav,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,239.66844168373157,None,space,3.590113232424756,239.66844168373157,None,243.76841750502305,None,245.2682934118002,None,5.0,10.630483525877937,245.2682934118002,None,,,,,,
5,stimuli/gogebi.wav,,,,,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,253.93408388955456,None,space,3.795650368023416,253.93408388955456,None,258.23370430495737,None,259.7335304054054,None,1.0599647266313932,7.746851636303745,259.7335304054054,None,,,,,,
6,stimuli/guloba.wav,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,265.5163307405869,None,space,2.9328009992659645,265.5163307405869,None,268.94930473383505,None,270.44918818702536,None,1.0599647266313932,4.28074740886359,270.44918818702536,None,,,,,,
7,stimuli/tupidu.wav,,,,,0.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,272.76560688860764,None,space,2.875113799915198,272.76560688860764,None,276.1486157764716,None,277.6484750811392,None,1.9947089947089949,5.397066920386806,277.6484750811392,None,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0814967375345,None,return,3.2307306860111566,281.0814967375345,None
